City Name,Country,Lat,Lng,temp,max_temp,clouds,humidity,wind_speed
Kapaa,US,,,,,,,
Santa Isabel Do Rio Negro,BR,,,,,,,
Cherskiy,RU,,,,,,,
Busselton,AU,,,,,,,
Cairns,AU,,,,,,,
Sinjar,IQ,,,,,,,
Bengkulu,ID,,,,,,,
Faya,TD,,,,,,,
Deh Rawud,AF,,,,,,,
Saint-Philippe,RE,,,,,,,
Cape Town,ZA,,,,,,,
Illoqqortoormiut,GL,,,,,,,
Ushuaia,AR,,,,,,,
Vao,NC,,,,,,,
Sorong,ID,,,,,,,
San Isidro,PH,,,,,,,
Namibe,AO,,,,,,,
Rikitea,PF,,,,,,,
Tessalit,ML,,,,,,,
New Glasgow,CA,,,,,,,
Ushuaia,AR,,,,,,,
Kattivakkam,IN,,,,,,,
Yellowknife,CA,,,,,,,
Albany,AU,,,,,,,
Avarua,CK,,,,,,,
Saint-Augustin,CA,,,,,,,
Tandil,AR,,,,,,,
Kelowna,CA,,,,,,,
Qaqortoq,GL,,,,,,,
Te Anau,NZ,,,,,,,
Mar Del Plata,AR,,,,,,,
Kapaa,US,,,,,,,
Vila Velha,BR,,,,,,,
Piacabucu,BR,,,,,,,
Margate,ZA,,,,,,,
We,NC,,,,,,,
Garowe,SO,,,,,,,
Dickson,US,,,,,,,
Saleaula,WS,,,,,,,
Channel-Port Aux Basques,CA,,,,,,,
Chokurdakh,RU,,,,,,,
Baykit,RU,,,,,,,
Bambous Virieux,MU,,,,,,,
Rikitea,PF,,,,,,,
Pitimbu,BR,,,,,,,
Port Alfred,ZA,,,,,,,
Illoqqortoormiut,GL,,,,,,,
Qaanaaq,GL,,,,,,,
Qaanaaq,GL,,,,,,,
Whitehorse,CA,,,,,,,
Coihaique,CL,,,,,,,
Nyakabindi,TZ,,,,,,,
Rikitea,PF,,,,,,,
Port Blair,IN,,,,,,,
Mataura,PF,,,,,,,
Mataura,PF,,,,,,,
Cap Malheureux,MU,,,,,,,
Barrow,US,,,,,,,
Perevolotskiy,RU,,,,,,,
Victoria,SC,,,,,,,
Atuona,PF,,,,,,,
Aklavik,CA,,,,,,,
Senno,BY,,,,,,,
Tungor,RU,,,,,,,
Busselton,AU,,,,,,,
Ukiah,US,,,,,,,
Saldanha,ZA,,,,,,,
Sisimiut,GL,,,,,,,
Sitrah,BH,,,,,,,
Victoria,SC,,,,,,,
Usinsk,RU,,,,,,,
Port Elizabeth,ZA,,,,,,,
Ushuaia,AR,,,,,,,
Sorvag,FO,,,,,,,
Essen,BE,,,,,,,
Porto Novo,CV,,,,,,,
Richards Bay,ZA,,,,,,,
Leningradskiy,RU,,,,,,,
Punta Arenas,CL,,,,,,,
Sao Joao Da Barra,BR,,,,,,,
Hermanus,ZA,,,,,,,
Nikolskoye,RU,,,,,,,
Hobart,AU,,,,,,,
Port Alfred,ZA,,,,,,,
Upernavik,GL,,,,,,,
Bluff,NZ,,,,,,,
Sterling,US,,,,,,,
Broome,AU,,,,,,,
Fort Nelson,CA,,,,,,,
Liwale,TZ,,,,,,,
Strezhevoy,RU,,,,,,,
Baykit,RU,,,,,,,
Lorengau,PG,,,,,,,
Yar-Sale,RU,,,,,,,
Kendari,ID,,,,,,,
Punta Arenas,CL,,,,,,,
Katsuura,JP,,,,,,,
Ilulissat,GL,,,,,,,
Lebu,CL,,,,,,,
Albany,AU,,,,,,,
Aasiaat,GL,,,,,,,
Attawapiskat,CA,,,,,,,
Mataura,PF,,,,,,,
San Jose,GT,,,,,,,
Qaanaaq,GL,,,,,,,
Rikitea,PF,,,,,,,
Severo-Kurilsk,RU,,,,,,,
Nerang,AU,,,,,,,
Belushya Guba,RU,,,,,,,
Yellowknife,CA,,,,,,,
Swift Current,CA,,,,,,,
Rikitea,PF,,,,,,,
Asau,TV,,,,,,,
Kalabo,ZM,,,,,,,
Mataura,PF,,,,,,,
Airai,PW,,,,,,,
Hermanus,ZA,,,,,,,
Ponta Do Sol,CV,,,,,,,
Marcona,PE,,,,,,,
Nizhneyansk,RU,,,,,,,
Aljezur,PT,,,,,,,
Cape Town,ZA,,,,,,,
Valparaiso,CL,,,,,,,
Lebu,CL,,,,,,,
Nizhneyansk,RU,,,,,,,
Jinzhou,CN,,,,,,,
Chapais,CA,,,,,,,
Nizhneyansk,RU,,,,,,,
Mataura,PF,,,,,,,
Mys Shmidta,RU,,,,,,,
Saint-Philippe,RE,,,,,,,
Vestmannaeyjar,IS,,,,,,,
Hobart,AU,,,,,,,
Tiksi,RU,,,,,,,
Hobart,AU,,,,,,,
Rikitea,PF,,,,,,,
Tuktoyaktuk,CA,,,,,,,
Acapulco,MX,,,,,,,
Meyungs,PW,,,,,,,
Avarua,CK,,,,,,,
Mataura,PF,,,,,,,
Hobart,AU,,,,,,,
Port Hardy,CA,,,,,,,
Atuona,PF,,,,,,,
Ushuaia,AR,,,,,,,
Kapaa,US,,,,,,,
Taolanaro,MG,,,,,,,
Strausberg,DE,,,,,,,
Rikitea,PF,,,,,,,
Zhongshan,CN,,,,,,,
Torbay,CA,,,,,,,
Tabuk,SA,,,,,,,
Flin Flon,CA,,,,,,,
Mayo,CA,,,,,,,
Buala,SB,,,,,,,
Arraial Do Cabo,BR,,,,,,,
Rikitea,PF,,,,,,,
Saryshagan,KZ,,,,,,,
Karratha,AU,,,,,,,
Aldan,RU,,,,,,,
San Policarpo,PH,,,,,,,
Todos Santos,MX,,,,,,,
Tessalit,ML,,,,,,,
Norman Wells,CA,,,,,,,
Chuy,UY,,,,,,,
Balkhash,KZ,,,,,,,
Walvis Bay,NA,,,,,,,
Boyolangu,ID,,,,,,,
Aurora,PH,,,,,,,
Busselton,AU,,,,,,,
Sentyabrskiy,RU,,,,,,,
Yellowknife,CA,,,,,,,
Port Alfred,ZA,,,,,,,
Alofi,NU,,,,,,,
Barrow,US,,,,,,,
Mataura,PF,,,,,,,
Santa Cruz,CR,,,,,,,
Abonnema,NG,,,,,,,
Te Anau,NZ,,,,,,,
Ust-Kan,RU,,,,,,,
Aklavik,CA,,,,,,,
Behshahr,IR,,,,,,,
Kirkuk,IQ,,,,,,,
Vila Velha,BR,,,,,,,
Takoradi,GH,,,,,,,
Ponta Do Sol,CV,,,,,,,
Butaritari,KI,,,,,,,
Kizukuri,JP,,,,,,,
Bambanglipuro,ID,,,,,,,
Tautira,PF,,,,,,,
Mataura,PF,,,,,,,
Ushuaia,AR,,,,,,,
Bereda,SO,,,,,,,
Uinskoye,RU,,,,,,,
Qaanaaq,GL,,,,,,,
Henties Bay,NA,,,,,,,
Rikitea,PF,,,,,,,
Asau,TV,,,,,,,
Taolanaro,MG,,,,,,,
Albany,AU,,,,,,,
Cherskiy,RU,,,,,,,
Cape Town,ZA,,,,,,,
Dikson,RU,,,,,,,
Punta Arenas,CL,,,,,,,
Chuy,UY,,,,,,,
Cockburn Town,BS,,,,,,,
Meadow Lake,CA,,,,,,,
Rikitea,PF,,,,,,,
Punta Arenas,CL,,,,,,,
Quatre Cocos,MU,,,,,,,
Lodja,CD,,,,,,,
Illoqqortoormiut,GL,,,,,,,
College Place,US,,,,,,,
Mahebourg,MU,,,,,,,
Hilo,US,,,,,,,
Ixtapa,MX,,,,,,,
Bluff,NZ,,,,,,,
Hilo,US,,,,,,,
Teya,RU,,,,,,,
Sitka,US,,,,,,,
Aksarka,RU,,,,,,,
Lompoc,US,,,,,,,
Carnarvon,AU,,,,,,,
Ushuaia,AR,,,,,,,
Nikolskoye,RU,,,,,,,
San Vicente De Canete,PE,,,,,,,
Wahran,DZ,,,,,,,
Ushuaia,AR,,,,,,,
Boli,CN,,,,,,,
Cabo Rojo,US,,,,,,,
Butaritari,KI,,,,,,,
Gat,LY,,,,,,,
Khatanga,RU,,,,,,,
Pasni,PK,,,,,,,
Barentsburg,SJ,,,,,,,
Tuktoyaktuk,CA,,,,,,,
Sao Filipe,CV,,,,,,,
Yellowknife,CA,,,,,,,
Ilhabela,BR,,,,,,,
Muros,ES,,,,,,,
Barentsburg,SJ,,,,,,,
Kushima,JP,,,,,,,
Havelock,US,,,,,,,
Taolanaro,MG,,,,,,,
Busselton,AU,,,,,,,
Tuktoyaktuk,CA,,,,,,,
Norman Wells,CA,,,,,,,
Dikson,RU,,,,,,,
Maumere,ID,,,,,,,
Hithadhoo,MV,,,,,,,
Vardo,NO,,,,,,,
Premia De Mar,ES,,,,,,,
Illoqqortoormiut,GL,,,,,,,
Khatanga,RU,,,,,,,
Tuktoyaktuk,CA,,,,,,,
Karaikkudi,IN,,,,,,,
Hobart,AU,,,,,,,
Mys Shmidta,RU,,,,,,,
Yellowknife,CA,,,,,,,
Hermanus,ZA,,,,,,,
Tuktoyaktuk,CA,,,,,,,
Bathsheba,BB,,,,,,,
Lebu,CL,,,,,,,
Souillac,MU,,,,,,,
Avarua,CK,,,,,,,
Ponta Do Sol,CV,,,,,,,
Salalah,OM,,,,,,,
Ushuaia,AR,,,,,,,
Albany,AU,,,,,,,
Faya,TD,,,,,,,
Isangel,VU,,,,,,,
Pisco,PE,,,,,,,
Busselton,AU,,,,,,,
Klyuchi,RU,,,,,,,
Puerto Ayora,EC,,,,,,,
Port Elizabeth,ZA,,,,,,,
Balaka,MW,,,,,,,
New Norfolk,AU,,,,,,,
Saint-Philippe,RE,,,,,,,
Sitka,US,,,,,,,
Guerrero Negro,MX,,,,,,,
Bredasdorp,ZA,,,,,,,
Ushuaia,AR,,,,,,,
Punta Arenas,CL,,,,,,,
Alofi,NU,,,,,,,
Bredasdorp,ZA,,,,,,,
Marv Dasht,IR,,,,,,,
Rafaela,AR,,,,,,,
Arraial Do Cabo,BR,,,,,,,
Albany,AU,,,,,,,
Mataura,PF,,,,,,,
Punta Arenas,CL,,,,,,,
Kapaa,US,,,,,,,
Agua Branca,BR,,,,,,,
Arraial Do Cabo,BR,,,,,,,
Taolanaro,MG,,,,,,,
Puerto Ayora,EC,,,,,,,
Barrow,US,,,,,,,
Lavrentiya,RU,,,,,,,
Dakar,SN,,,,,,,
Namtsy,RU,,,,,,,
Udachnyy,RU,,,,,,,
Cloquet,US,,,,,,,
Fortuna,US,,,,,,,
Puerto Ayora,EC,,,,,,,
Olafsvik,IS,,,,,,,
Port Alfred,ZA,,,,,,,
Poum,NC,,,,,,,
Mataura,PF,,,,,,,
Bluff,NZ,,,,,,,
Puerto Escondido,MX,,,,,,,
Fare,PF,,,,,,,
Hilo,US,,,,,,,
Kautokeino,NO,,,,,,,
Hobart,AU,,,,,,,
Saint-Philippe,RE,,,,,,,
Port Alfred,ZA,,,,,,,
Grand River South East,MU,,,,,,,
Butaritari,KI,,,,,,,
Edwardsville,US,,,,,,,
Tuktoyaktuk,CA,,,,,,,
Port-Gentil,GA,,,,,,,
Vaini,TO,,,,,,,
Mataura,PF,,,,,,,
Belushya Guba,RU,,,,,,,
Nantucket,US,,,,,,,
Inuvik,CA,,,,,,,
Monrovia,LR,,,,,,,
Georgetown,SH,,,,,,,
Hualmay,PE,,,,,,,
Guerrero Negro,MX,,,,,,,
Rikitea,PF,,,,,,,
Bluff,NZ,,,,,,,
Yellowknife,CA,,,,,,,
Clyde River,CA,,,,,,,
Cape Town,ZA,,,,,,,
Tete,MZ,,,,,,,
Hobart,AU,,,,,,,
Atbasar,KZ,,,,,,,
Punta Arenas,CL,,,,,,,
Rikitea,PF,,,,,,,
Milkovo,RU,,,,,,,
Khatanga,RU,,,,,,,
Narsaq,GL,,,,,,,
Port Lincoln,AU,,,,,,,
Maldonado,UY,,,,,,,
Oda,JP,,,,,,,
Puerto Ayacucho,VE,,,,,,,
Chokurdakh,RU,,,,,,,
Souillac,MU,,,,,,,
Puerto Escondido,MX,,,,,,,
Punta Arenas,CL,,,,,,,
Tabas,IR,,,,,,,
Port Augusta,AU,,,,,,,
Arraial Do Cabo,BR,,,,,,,
Atuona,PF,,,,,,,
Candolim,IN,,,,,,,
Tsihombe,MG,,,,,,,
Mahebourg,MU,,,,,,,
Rikitea,PF,,,,,,,
Hermanus,ZA,,,,,,,
Qaanaaq,GL,,,,,,,
Codrington,AG,,,,,,,
New Norfolk,AU,,,,,,,
Saint-Philippe,RE,,,,,,,
Vardo,NO,,,,,,,
Chokwe,MZ,,,,,,,
Bluff,NZ,,,,,,,
Mataura,PF,,,,,,,
Pangnirtung,CA,,,,,,,
Severo-Kurilsk,RU,,,,,,,
Comodoro Rivadavia,AR,,,,,,,
Burkhala,RU,,,,,,,
Albany,AU,,,,,,,
Souillac,MU,,,,,,,
Hobart,AU,,,,,,,
Rionegro,CO,,,,,,,
Villa Carlos Paz,AR,,,,,,,
Tahe,CN,,,,,,,
Rio Cuarto,AR,,,,,,,
New Norfolk,AU,,,,,,,
Kaitangata,NZ,,,,,,,
Pagudpud,PH,,,,,,,
Lotofaga,WS,,,,,,,
Mataura,PF,,,,,,,
Thompson,CA,,,,,,,
Kamenskoye,RU,,,,,,,
Avarua,CK,,,,,,,
Nikolskoye,RU,,,,,,,
Bredasdorp,ZA,,,,,,,
Karatau,KZ,,,,,,,
Bredasdorp,ZA,,,,,,,
High Level,CA,,,,,,,
Albany,AU,,,,,,,
Husavik,IS,,,,,,,
Maniitsoq,GL,,,,,,,
Jamestown,SH,,,,,,,
Ushuaia,AR,,,,,,,
Yellowknife,CA,,,,,,,
Hambantota,LK,,,,,,,
Vao,NC,,,,,,,
Kungurtug,RU,,,,,,,
Qaanaaq,GL,,,,,,,
Saraipali,IN,,,,,,,
Solnechnyy,RU,,,,,,,
Ponta Do Sol,CV,,,,,,,
Bonavista,CA,,,,,,,
Kapaa,US,,,,,,,
Albany,AU,,,,,,,
Fortuna,US,,,,,,,
